,X,file_names,include,threshold,trim_s,trim_f
141,141,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_a_NF_0.10.wav,Y,9,NA,NA
142,142,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_a_NF_0.17.wav,Y,8,NA,NA
143,143,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_a_NF_0.26.wav,Y,10,NA,NA
144,144,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_a_NF_0.40.wav,Y,10,NA,NA
145,145,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_a_NF_0.48.wav,Y,8,NA,NA
146,146,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_a_NF_0.56.wav,Y,10,NA,NA
147,147,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_a_NF_1.02.wav,Y,10,NA,NA
148,148,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_a_NF_1.07.wav,Y,10,NA,NA
149,149,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_b_NF_2.25.wav,Y,10,NA,NA
150,150,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_b_NF_2.31.wav,Y,10,NA,NA
151,151,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_b_NF_2.36.wav,Y,10,NA,NA
152,152,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_b_NF_2.41.wav,Y,10,NA,NA
153,153,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_b_NF_2.46.wav,N,10,NA,NA
154,154,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_b_NF_2.54.wav,Y,10,NA,NA
155,155,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_b_NF_3.00.wav,Y,10,NA,NA
156,156,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_b_NF_3.06.wav,Y,9,NA,NA
157,157,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_b_NF_3.11.wav,Y,10,NA,NA
158,158,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_b_NF_3.23.wav,Y,10,NA,NA
159,159,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_a_0.04.wav,Y,10,NA,NA
160,160,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_a_0.13.wav,Y,9,0,1.1
161,161,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_a_0.16.wav,Y,10,NA,NA
162,162,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_a_0.23.wav,Y,10,NA,NA
163,163,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_a_0.32.wav,Y,10,NA,NA
164,164,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_a_0.35.wav,Y,10,NA,NA
165,165,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_a_0.38.wav,Y,10,NA,NA
166,166,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_a_0.41.wav,Y,10,NA,NA
167,167,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_b_0.00.wav,Y,10,NA,NA
168,168,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_b_0.04.wav,Y,10,NA,NA
169,169,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_b_0.18.wav,Y,10,NA,NA
170,170,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_b_0.26.wav,Y,10,NA,NA
171,171,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_c_0.32.wav,Y,9,NA,NA
172,172,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_c_0.50.wav,Y,10,NA,NA
173,173,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_c_0.55.wav,Y,10,NA,NA
174,174,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_c_1.03.wav,Y,10,NA,NA
175,175,Poecile.sp_Gm.RB_Mar052023_SparrowfootPUA.HenryCO.MO_SMP_a_0.04.wav,N,10,NA,NA
176,176,Poecile.sp_Gm.RB_Mar052023_SparrowfootPUA.HenryCO.MO_SMP_a_0.10.wav,Y,10,NA,NA
177,177,Poecile.sp_Gm.RB_Mar052023_SparrowfootPUA.HenryCO.MO_SMP_a_0.16.wav,Y,10,NA,NA
178,178,Poecile.sp_Gm.RB_Mar052023_SparrowfootPUA.HenryCO.MO_SMP_a_0.21.wav,N,10,NA,NA
179,179,Poecile.sp_Gm.RB_Mar052023_SparrowfootPUA.HenryCO.MO_SMP_a_0.31.wav,Y,10,NA,NA
180,180,Poecile.sp_Gm.RB_Mar052023_SparrowfootPUA.HenryCO.MO_SMP_a_0.43.wav,Y,10,NA,NA
181,181,Poecile.sp_Gm.RB_Mar052023_SparrowfootPUA.HenryCO.MO_SMP_a_1.08.wav,Y,9,NA,NA
182,182,Poecile.sp_Gm.RB_Mar052023_SparrowfootPUA.HenryCO.MO_SMP_a_1.14.wav,Y,10,NA,NA
183,183,Poecile.sp_Gm.RB_Mar052023_SparrowfootPUA.HenryCO.MO_SMP_a_1.22.wav,Y,10,NA,NA
184,184,Poecile.sp_Gm.RB_Mar062023_SparrowfootPUA.HenryCO.MO_SMP_a_0.55.wav,Y,12,NA,NA
185,185,Poecile.sp_Gm.RB_Mar062023_SparrowfootPUA.HenryCO.MO_SMP_a_0.59.wav,Y,9,NA,NA
186,186,Poecile.sp_Gm.RB_Mar062023_SparrowfootPUA.HenryCO.MO_SMP_a_1.17.wav,Y,10,NA,NA
187,187,Poecile.sp_Gm.RB_Mar062023_SparrowfootPUA.HenryCO.MO_SMP_a_1.22.wav,Y,10,NA,NA
188,188,Poecile.sp_Gm.RB_Mar062023_SparrowfootPUA.HenryCO.MO_SMP_a_1.27.wav,Y,10,NA,NA
189,189,Poecile.sp_Gm.RB_Mar062023_SparrowfootPUA.HenryCO.MO_SMP_a_1.30.wav,Y,9,NA,NA
190,190,Poecile.sp_Gm.RB_Mar062023_SparrowfootPUA.HenryCO.MO_SMP_a_1.33.wav,Y,9,NA,NA
191,191,Poecile.sp_Gm.RB_Mar062023_SparrowfootPUA.HenryCO.MO_SMP_a_1.37.wav,Y,12,NA,NA
192,192,Poecile.sp_Gm.RB_Mar062023_SparrowfootPUA.HenryCO.MO_SMP_a_1.41.wav,Y,10,NA,NA
193,193,Poecile.sp_Gm.RB_Mar062023_SparrowfootPUA.HenryCO.MO_SMP_a_1.46.wav,Y,10,NA,NA
194,194,Poecile.sp_Gm.RB_Mar062023_SparrowfootPUA.HenryCO.MO_SMP_a_1.56.wav,Y,9,NA,NA
195,195,Poecile.sp_Gm.RB_Mar062023_SparrowfootPUA.HenryCO.MO_SMP_a_2.23.wav,Y,10,NA,NA
196,196,Poecile.sp_Gm.RB_Mar062023_SparrowfootPUA.HenryCO.MO_SMP_a_2.27.wav,Y,7,NA,NA
197,197,Poecile.sp_Gm.RB_Mar062023_SparrowfootPUA.HenryCO.MO_SMP_a_2.30.wav,Y,10,NA,NA
198,198,Poecile.sp_Gm.RB_Mar062023_SparrowfootPUA.HenryCO.MO_SMP_a_2.34.wav,Y,10,NA,NA
199,199,Poecile.sp_Gm.RB_Mar062023_SparrowfootPUA.HenryCO.MO_SMP_a_2.39.wav,Y,10,NA,NA
200,200,Poecile.sp_Gm.RB_Mar062023_SparrowfootPUA.HenryCO.MO_SMP_a_2.45.wav,Y,10,NA,NA
201,201,Poecile.sp_Gm.RB_Mar062023_SparrowfootPUA.HenryCO.MO_SMP_a_2.49.wav,Y,10,NA,NA
202,202,Poecile.sp_Gm.RB_Mar062023_SparrowfootPUA.HenryCO.MO_SMP_a_6.23.wav,Y,10,NA,NA
203,203,Poecile.sp_Gm.RB_Mar062023_SparrowfootPUA.HenryCO.MO_SMP_a_6.27.wav,Y,9,NA,NA
