,file_names,include,threshold,trim_s,trim_f
213,Poecile.sp_Gm.RB_Mar162023_SparrowfootPUA.HenryCO.MO_SMP_a_1.08.wav,Y,11,,
214,Poecile.sp_Gm.RB_Mar162023_SparrowfootPUA.HenryCO.MO_SMP_a_1.12.wav,Y,10,,
215,Poecile.sp_Gm.RB_Mar162023_SparrowfootPUA.HenryCO.MO_SMP_a_1.16.wav,Y,8,,
216,Poecile.sp_Gm.RB_Mar162023_SparrowfootPUA.HenryCO.MO_SMP_a_1.21.wav,Y,10,,
217,Poecile.sp_Gm.RB_Mar162023_SparrowfootPUA.HenryCO.MO_SMP_a_1.25.wav,Y,10,,
218,Poecile.sp_Gm.RB_Mar162023_SparrowfootPUA.HenryCO.MO_SMP_a_1.32.wav,Y,10,,
219,Poecile.sp_Gm.RB_Mar162023_SparrowfootPUA.HenryCO.MO_SMP_a_1.38.wav,Y,10,,
220,Poecile.sp_Gm.RB_Mar162023_SparrowfootPUA.HenryCO.MO_SMP_a_1.44.wav,Y,10,,
221,Poecile.sp_Gm.RB_Mar162023_SparrowfootPUA.HenryCO.MO_SMP_a_1.47.wav,Y,10,,
222,Poecile.sp_Gm.RB_Mar162023_SparrowfootPUA.HenryCO.MO_SMP_a_1.51.wav,Y,10,,
223,Poecile.sp_Gm.RB_Mar162023_SparrowfootPUA.HenryCO.MO_SMP_a_1.56.wav,Y,10,,
